ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6054,"2018",2942,595,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.059401942374866235
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6054,"2018",1422,336,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.028711611848082862
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6054,"2018",640,268,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.01292224443232984
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6054,"2018",957,286,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.019322793627718216
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6054,"2018",2116,413,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.042724170654390534
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6054,"2018",1913,398,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03862539624851091
3,"Foreign Born",0,"Under 5 Years",2018,"2018",30,23,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0006057302077654613
3,"Foreign Born",1,"5 to 17 Years",2018,"2018",163,96,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.003291134128859006
3,"Foreign Born",2,"18 to 24 Years",2018,"2018",1790,385,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.036141902396672525
3,"Foreign Born",3,"25 to 34 Years",2018,"2018",1615,278,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03260847618470733
3,"Foreign Born",4,"35 to 44 Years",2018,"2018",594,152,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.011993458113756133
3,"Foreign Born",5,"45 to 54 Years",2018,"2018",289,161,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.005835201001473943
3,"Foreign Born",6,"55 to 59 Years",2018,"2018",94,66,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0018979546509984453
3,"Foreign Born",7,"60 & 61 Years",2018,"2018",58,45,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0011710784016798917
3,"Foreign Born",8,"62 to 64 Years",2018,"2018",38,30.000000000000004,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0007672582631695843
3,"Foreign Born",9,"65 to 74 Years",2018,"2018",177,66,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0035738082258162216
3,"Foreign Born",10,"75 Years & Over",2018,"2018",107,83,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.002160437741030145
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6051,"2017",2222,487,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04564034096744377
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6051,"2017",5286,788,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.10857553661291978
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6051,"2017",16920,1216,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3475403101571326
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6051,"2017",5616,770,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11535380507343124
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6051,"2017",3595,671,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.07384204580466262
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6051,"2017",3087,574,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.06340762041696621
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6051,"2017",1428,344,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.029331416247304096
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6051,"2017",649,273,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.013330594639005855
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6051,"2017",976,338,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.020047242477149018
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6051,"2017",2185,414,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04488035329156825
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6051,"2017",1907,428,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03917017561877375
3,"Foreign Born",0,"Under 5 Years",2017,"2017",23,22,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.00047242477149019203
3,"Foreign Born",1,"5 to 17 Years",2017,"2017",142,90,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0029167094587655333
3,"Foreign Born",2,"18 to 24 Years",2017,"2017",1651,339,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03391188251001335
3,"Foreign Born",3,"25 to 34 Years",2017,"2017",1734,275,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03561671972886926
3,"Foreign Born",4,"35 to 44 Years",2017,"2017",594,129,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.012200883228920613
3,"Foreign Born",5,"45 to 54 Years",2017,"2017",261,164,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.005360994146040875
3,"Foreign Born",6,"55 to 59 Years",2017,"2017",70,45,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0014378145219266715
3,"Foreign Born",7,"60 & 61 Years",2017,"2017",58,45,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0011913320324535277
3,"Foreign Born",8,"62 to 64 Years",2017,"2017",51,31,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0010475505802608606
3,"Foreign Born",9,"65 to 74 Years",2017,"2017",112,57.99999999999999,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0023005032350826744
3,"Foreign Born",10,"75 Years & Over",2017,"2017",118,97,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.002423744479819246
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6048,"2016",2416,436,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.050224513553966406
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6048,"2016",5629,850,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11701729585897222
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6048,"2016",16881,1320,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3509271578247131
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6048,"2016",5316,742,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11051056045235323
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6048,"2016",3504,627,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.07284217528687843
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6048,"2016",2898,529,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.060244470314318975
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6048,"2016",1437,397,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.02987277565275237
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6048,"2016",677,268,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.014073673706968236
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6048,"2016",903,284,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.018771827706635623
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6048,"2016",2048,379,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.042574422085481456
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6048,"2016",1783,365,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03706552469649094
3,"Foreign Born",0,"Under 5 Years",2016,"2016",23,21,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0004781307167803093
3,"Foreign Born",1,"5 to 17 Years",2016,"2016",166,94,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.003450856477631798
3,"Foreign Born",2,"18 to 24 Years",2016,"2016",1359,219.99999999999997,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.028251288874106103
3,"Foreign Born",3,"25 to 34 Years",2016,"2016",1663,234.00000000000003,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03457092965241976
3,"Foreign Born",4,"35 to 44 Years",2016,"2016",588,122,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.012223515715948778
