ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
2,"Part time",2015,"2015",1424,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.13002191380569758
1,"Full time",2014,"2014",5047167,"Doctoral Universities","DOC","doctoral-universities",0.7846347573767918
2,"Part time",2014,"2014",1385338,"Doctoral Universities","DOC","doctoral-universities",0.21536524262320822
1,"Full time",2014,"2014",1282249,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7583139602618928
2,"Part time",2014,"2014",408672,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.24168603973810723
1,"Full time",2014,"2014",15266,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7658272298585331
1,"Full time",2014,"2014",11753,"Rowan University","184782","rowan-university",0.7953038300175937
1,"Full time",2014,"2014",19869,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.6800492863743711
1,"Full time",2014,"2014",20129,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7753254756952469
1,"Full time",2014,"2014",9149,"South Dakota State University","219356","south-dakota-state-university",0.7294108267559595
1,"Full time",2014,"2014",9599,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8558309557774608
2,"Part time",2014,"2014",4668,"University of Nevada-Reno","182290","university-of-nevada-reno",0.23417277014146684
2,"Part time",2014,"2014",3025,"Rowan University","184782","rowan-university",0.20469616998240628
2,"Part time",2014,"2014",9348,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.31995071362562894
2,"Part time",2014,"2014",5833,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.2246745243047531
2,"Part time",2014,"2014",3394,"South Dakota State University","219356","south-dakota-state-university",0.2705891732440405
2,"Part time",2014,"2014",1617,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.14416904422253923
1,"Full time",2013,"2013",4787984,"Doctoral Universities","DOC","doctoral-universities",0.7784737311388582
2,"Part time",2013,"2013",1362492,"Doctoral Universities","DOC","doctoral-universities",0.2215262688611418
1,"Full time",2013,"2013",1265408,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7535105844523179
2,"Part time",2013,"2013",413942,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.24648941554768214
1,"Full time",2013,"2013",14208,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7567106945036216
1,"Full time",2013,"2013",10499,"Rowan University","184782","rowan-university",0.7865008614877519
1,"Full time",2013,"2013",19449,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.6756409365663865
1,"Full time",2013,"2013",19959,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7655045449315384
1,"Full time",2013,"2013",9146,"South Dakota State University","219356","south-dakota-state-university",0.7302195608782435
1,"Full time",2013,"2013",8918,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8575
2,"Part time",2013,"2013",4568,"University of Nevada-Reno","182290","university-of-nevada-reno",0.24328930549637837
2,"Part time",2013,"2013",2850,"Rowan University","184782","rowan-university",0.2134991385122481
2,"Part time",2013,"2013",9337,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.32435906343361354
2,"Part time",2013,"2013",6114,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.23449545506846162
2,"Part time",2013,"2013",3379,"South Dakota State University","219356","south-dakota-state-university",0.2697804391217565
2,"Part time",2013,"2013",1482,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.1425
1,"Full time",2012,"2012",4737820,"Doctoral Universities","DOC","doctoral-universities",0.7754654237798027
2,"Part time",2012,"2012",1371827,"Doctoral Universities","DOC","doctoral-universities",0.22453457622019735
1,"Full time",2012,"2012",1259671,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7505363863912472
2,"Part time",2012,"2012",418690,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.24946361360875283
1,"Full time",2012,"2012",13733,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7534426949031656
1,"Full time",2012,"2012",9605,"Rowan University","184782","rowan-university",0.7883936633013215
1,"Full time",2012,"2012",19501,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.7116633822348734
1,"Full time",2012,"2012",19597,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7622918935739847
1,"Full time",2012,"2012",9015,"South Dakota State University","219356","south-dakota-state-university",0.7164428196773425
2,"Part time",2012,"2012",4494,"University of Nevada-Reno","182290","university-of-nevada-reno",0.24655730509683438
2,"Part time",2012,"2012",2578,"Rowan University","184782","rowan-university",0.21160633669867848
2,"Part time",2012,"2012",7901,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.28833661776512665
2,"Part time",2012,"2012",6111,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.23770810642601525
2,"Part time",2012,"2012",3568,"South Dakota State University","219356","south-dakota-state-university",0.28355718032265753
